id,Sentiment,Tweet
"1268301813943603200","negativ","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
"1268301813943603200","negativ","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
"1268301813943603200","negativ","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
"1268301813943603200","negativ","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
"1268305276232499206","negativ","j:mag/pirates-piraten news: UPCA should be abandoned and substantive reform at EU level taken up - Kluwer Patent… https://t.co/4mcNWpRyle"
"1268301813943603200","negativ","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
"1268305276232499206","negativ","j:mag/pirates-piraten news: UPCA should be abandoned and substantive reform at EU level taken up - Kluwer Patent… https://t.co/4mcNWpRyle"
"1268301813943603200","negativ","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
"1268305276232499206","negativ","j:mag/pirates-piraten news: UPCA should be abandoned and substantive reform at EU level taken up - Kluwer Patent… https://t.co/4mcNWpRyle"
"1268301813943603200","negativ","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
"1268305276232499206","negativ","j:mag/pirates-piraten news: UPCA should be abandoned and substantive reform at EU level taken up - Kluwer Patent… https://t.co/4mcNWpRyle"
"1268308099141718016","negativ","RT @LeFloid: Yoho Piraten yoho!!  Wir sind jetzt (gleich) live!  Auf https://t.co/DTqFtCQOEH https://t.co/4QTwhk2LJ0"
"1268301813943603200","negativ","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
"1268305276232499206","negativ","j:mag/pirates-piraten news: UPCA should be abandoned and substantive reform at EU level taken up - Kluwer Patent… https://t.co/4mcNWpRyle"
"1268308099141718016","negativ","RT @LeFloid: Yoho Piraten yoho!!  Wir sind jetzt (gleich) live!  Auf https://t.co/DTqFtCQOEH https://t.co/4QTwhk2LJ0"
"1268301813943603200","negativ","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
"1268305276232499206","negativ","j:mag/pirates-piraten news: UPCA should be abandoned and substantive reform at EU level taken up - Kluwer Patent… https://t.co/4mcNWpRyle"
"1268308099141718016","negativ","RT @LeFloid: Yoho Piraten yoho!!  Wir sind jetzt (gleich) live!  Auf https://t.co/DTqFtCQOEH https://t.co/4QTwhk2LJ0"
"1268301813943603200","negativ","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
"1268305276232499206","negativ","j:mag/pirates-piraten news: UPCA should be abandoned and substantive reform at EU level taken up - Kluwer Patent… https://t.co/4mcNWpRyle"
"1268308099141718016","negativ","RT @LeFloid: Yoho Piraten yoho!!  Wir sind jetzt (gleich) live!  Auf https://t.co/DTqFtCQOEH https://t.co/4QTwhk2LJ0"
"1268310296113774592","negativ","RT @Piratenpartei: Das #Transsexuellengesetz ist dringend zu überarbeiten! Der #BGH scheint nicht ausreichend mit der Thematik #Intersexu…"
"1268301813943603200","negativ","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
"1268305276232499206","negativ","j:mag/pirates-piraten news: UPCA should be abandoned and substantive reform at EU level taken up - Kluwer Patent… https://t.co/4mcNWpRyle"
"1268308099141718016","negativ","RT @LeFloid: Yoho Piraten yoho!!  Wir sind jetzt (gleich) live!  Auf https://t.co/DTqFtCQOEH https://t.co/4QTwhk2LJ0"
"1268310296113774592","negativ","RT @Piratenpartei: Das #Transsexuellengesetz ist dringend zu überarbeiten! Der #BGH scheint nicht ausreichend mit der Thematik #Intersexu…"
"1268301813943603200","negativ","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
"1268305276232499206","negativ","j:mag/pirates-piraten news: UPCA should be abandoned and substantive reform at EU level taken up - Kluwer Patent… https://t.co/4mcNWpRyle"
"1268308099141718016","negativ","RT @LeFloid: Yoho Piraten yoho!!  Wir sind jetzt (gleich) live!  Auf https://t.co/DTqFtCQOEH https://t.co/4QTwhk2LJ0"
"1268310296113774592","negativ","RT @Piratenpartei: Das #Transsexuellengesetz ist dringend zu überarbeiten! Der #BGH scheint nicht ausreichend mit der Thematik #Intersexu…"
"1268301813943603200","negativ","RT @Piratenpartei: Mit #JulianAssanges Inhaftierung wurden fundamentale rechtsstaatliche Prinzipien verletzt. Wir fordern erneut Whistlebl…"
