id,Sentiment,Tweet
"1268301445209751553","positiv","RT @raumplanungtv: @HH_Rick @Piratenpartei ja, das stimmt, das habe ich schon beobachtet...."
"1268301445209751553","positiv","RT @raumplanungtv: @HH_Rick @Piratenpartei ja, das stimmt, das habe ich schon beobachtet...."
"1268301445209751553","positiv","RT @raumplanungtv: @HH_Rick @Piratenpartei ja, das stimmt, das habe ich schon beobachtet...."
"1268301445209751553","positiv","RT @raumplanungtv: @HH_Rick @Piratenpartei ja, das stimmt, das habe ich schon beobachtet...."
"1268301953676775425","positiv","RT @SurvivalPiraten: Die @IceCo1dKi11er ist wieder live auf https://t.co/XbBpEIL3wq für euch.Schaut gerne mal vorbei.  #Survival #Piraten #…"
"1268301445209751553","positiv","RT @raumplanungtv: @HH_Rick @Piratenpartei ja, das stimmt, das habe ich schon beobachtet...."
"1268301953676775425","positiv","RT @SurvivalPiraten: Die @IceCo1dKi11er ist wieder live auf https://t.co/XbBpEIL3wq für euch.Schaut gerne mal vorbei.  #Survival #Piraten #…"
"1268301445209751553","positiv","RT @raumplanungtv: @HH_Rick @Piratenpartei ja, das stimmt, das habe ich schon beobachtet...."
"1268301953676775425","positiv","RT @SurvivalPiraten: Die @IceCo1dKi11er ist wieder live auf https://t.co/XbBpEIL3wq für euch.Schaut gerne mal vorbei.  #Survival #Piraten #…"
"1268301445209751553","positiv","RT @raumplanungtv: @HH_Rick @Piratenpartei ja, das stimmt, das habe ich schon beobachtet...."
"1268301953676775425","positiv","RT @SurvivalPiraten: Die @IceCo1dKi11er ist wieder live auf https://t.co/XbBpEIL3wq für euch.Schaut gerne mal vorbei.  #Survival #Piraten #…"
"1268306445520515073","positiv","@ducom99 150 jaar geleden werden Nederlandse zeelieden door Marokkaanse piraten vermoord of tot slaaf gemaakt. Waar… https://t.co/eFkRsOOIVH"
"1268301445209751553","positiv","RT @raumplanungtv: @HH_Rick @Piratenpartei ja, das stimmt, das habe ich schon beobachtet...."
"1268301953676775425","positiv","RT @SurvivalPiraten: Die @IceCo1dKi11er ist wieder live auf https://t.co/XbBpEIL3wq für euch.Schaut gerne mal vorbei.  #Survival #Piraten #…"
"1268306445520515073","positiv","@ducom99 150 jaar geleden werden Nederlandse zeelieden door Marokkaanse piraten vermoord of tot slaaf gemaakt. Waar… https://t.co/eFkRsOOIVH"
"1268301445209751553","positiv","RT @raumplanungtv: @HH_Rick @Piratenpartei ja, das stimmt, das habe ich schon beobachtet...."
"1268301953676775425","positiv","RT @SurvivalPiraten: Die @IceCo1dKi11er ist wieder live auf https://t.co/XbBpEIL3wq für euch.Schaut gerne mal vorbei.  #Survival #Piraten #…"
"1268306445520515073","positiv","@ducom99 150 jaar geleden werden Nederlandse zeelieden door Marokkaanse piraten vermoord of tot slaaf gemaakt. Waar… https://t.co/eFkRsOOIVH"
"1268301445209751553","positiv","RT @raumplanungtv: @HH_Rick @Piratenpartei ja, das stimmt, das habe ich schon beobachtet...."
"1268301953676775425","positiv","RT @SurvivalPiraten: Die @IceCo1dKi11er ist wieder live auf https://t.co/XbBpEIL3wq für euch.Schaut gerne mal vorbei.  #Survival #Piraten #…"
"1268306445520515073","positiv","@ducom99 150 jaar geleden werden Nederlandse zeelieden door Marokkaanse piraten vermoord of tot slaaf gemaakt. Waar… https://t.co/eFkRsOOIVH"
"1268308306755452928","positiv","RT @Piratenpartei: #PIRATEN - Rundschau 31.05.2020 Ein neuer Beitrag der @PP_Flaschenpost: Bedingungsloses #Grundeinkommen: Wir benötigen…"
"1268301445209751553","positiv","RT @raumplanungtv: @HH_Rick @Piratenpartei ja, das stimmt, das habe ich schon beobachtet...."
"1268301953676775425","positiv","RT @SurvivalPiraten: Die @IceCo1dKi11er ist wieder live auf https://t.co/XbBpEIL3wq für euch.Schaut gerne mal vorbei.  #Survival #Piraten #…"
"1268306445520515073","positiv","@ducom99 150 jaar geleden werden Nederlandse zeelieden door Marokkaanse piraten vermoord of tot slaaf gemaakt. Waar… https://t.co/eFkRsOOIVH"
"1268308306755452928","positiv","RT @Piratenpartei: #PIRATEN - Rundschau 31.05.2020 Ein neuer Beitrag der @PP_Flaschenpost: Bedingungsloses #Grundeinkommen: Wir benötigen…"
"1268301445209751553","positiv","RT @raumplanungtv: @HH_Rick @Piratenpartei ja, das stimmt, das habe ich schon beobachtet...."
"1268301953676775425","positiv","RT @SurvivalPiraten: Die @IceCo1dKi11er ist wieder live auf https://t.co/XbBpEIL3wq für euch.Schaut gerne mal vorbei.  #Survival #Piraten #…"
